company,product_name,currency,pay_term_years,min_age,max_age,gender_limit,tags,highlight,annual_premium_base,premium_multiplier_male,premium_multiplier_female,age_factor_json,cash_value_90_predicted,death_benefit_90_predicted,cash_value_90_declared,death_benefit_90_declared,guarantee_years,irr_to_90_predicted,irr_to_90_declared
ABC Life,Premier Whole Life,USD,6,20,75,ANY,"傳承,高現金價值","高現金價值、適合傳承",10000,1.05,0.98,"{\"40-49\":1.1,\"50-59\":1.2}",520000,1500000,480000,1400000,20,0.035,0.031
Fubon Life,Wealth Builder,TWD,6,20,75,ANY,"傳承,保障","品牌大、穩健",250000,1.00,1.00,"{\"40-49\":1.05,\"50-59\":1.15}",8600000,24000000,7900000,22000000,,0.030,0.027
Yongda Life,Elite Legacy,USD,10,18,70,ANY,"傳承,資產配置","美元長期配置",8000,1.02,0.99,"{\"40-49\":1.08,\"50-59\":1.16}",600000,1700000,540000,1600000,20,0.033,0.030
Global Life,Cash Value Plus,TWD,10,20,75,ANY,"高現金價值,資產配置","高現金價值導向",180000,1.00,1.00,"{\"40-49\":1.07,\"50-59\":1.15}",7000000,19000000,6400000,17500000,,0.032,0.028
KGI Life,Legacy Shield,USD,6,20,75,ANY,"保障,傳承","保障/保費比佳",11000,1.06,0.97,"{\"40-49\":1.10,\"50-59\":1.18}",510000,1600000,470000,1500000,20,0.034,0.029
Cathay Life,Prime WL,TWD,20,20,70,ANY,"傳承,保障","長年期、穩健財務",90000,1.00,1.00,"{\"40-49\":1.05,\"50-59\":1.12}",7800000,21000000,7200000,19500000,,0.028,0.026
TaiShin Life,Smart Wealth,USD,6,25,70,ANY,"高現金價值,傳承","美元現金價值亮眼",9500,1.04,0.98,"{\"40-49\":1.09,\"50-59\":1.17}",530000,1450000,500000,1380000,15,0.036,0.032
ShinKong Life,Assure Max,TWD,10,20,70,ANY,"保障,資產配置","保障導向＋配置",160000,1.00,1.00,"{\"40-49\":1.06,\"50-59\":1.14}",6800000,20500000,6200000,19000000,,0.031,0.027
AIA,AIA Legacy Pro,USD,10,20,75,ANY,"傳承,保障","國際品牌",8500,1.03,0.99,"{\"40-49\":1.08,\"50-59\":1.15}",620000,1750000,560000,1650000,20,0.032,0.029
Prudential,PRU Wealth,TWD,6,20,75,ANY,"傳承,高現金價值","現金價值穩健提升",220000,1.00,1.00,"{\"40-49\":1.06,\"50-59\":1.15}",8400000,23000000,7800000,21500000,,0.030,0.027
